titulo,url,longitud_titulo
Bologna's Ferguson seeks first win over Celtic,https://www.bbc.com/sport/football/articles/cdren830zgro,46
Rohl 'knocking on door' for more Rangers signings,https://www.bbc.com/sport/football/live/c9wxd2xqwe7t,49
Rangers,https://www.bbc.com/sport/football/teams/rangers,7
Rangers' opponents Stranraer face Scottish Cup expulsion,https://www.bbc.com/sport/football/articles/c1klpx4ggl7o,56
Aberdeen in latter stages of manager hunt after holding interviews,https://www.bbc.com/sport/football/articles/c2lgvy14z81o,66
Women's football news,https://www.bbc.com/sport/football/womens,21
City Ground to host England-Iceland qualifier,https://www.bbc.com/sport/football/articles/clyzd4l2nqpo,45
Women's World Cup,https://www.bbc.com/sport/football/womens-world-cup,17
Chelsea host Manchester United in Women's FA Cup,https://www.bbc.com/sport/football/articles/ckgyk4w3znzo,48
France forward Cascarino joins London City Lionesses,https://www.bbc.com/sport/football/articles/clymze8n820o,52
View more,https://www.bbc.com/sport/football/womens,9
All the latest from the Premier League,https://www.bbc.com/sport/football/premier-league,38
Scottish Premiership,https://www.bbc.com/sport/football/scottish-premiership,20
Welsh Football,https://www.bbc.com/sport/football/welsh,14
Irish Football,https://www.bbc.com/sport/football/irish,14
